Project Number	Project Name	Project Address	Project Path
1802002.000	JUNIOR SCHOOL PROJECTS 2,3,4,5 & 9B	CNR NEW SOUTH HEAD ROAD & VAUCLUSE RD, VAUCLUSE NSW 2030	\\bvn\data\projects\18\1802002.000\Design\BIM\_Revit\003 - Junior School\1.0 Project Files\1802002_AR_JS_BUILDING_R22.rvt
Id	Type	Category	ConceptFlag	Length	Area	Volume	Workset	Family	Phase Created	Phase Demolished
2302920	Concept_100mm	Walls	True	7.94609036917	84.4767428880	27.7154668268	10_STRUCTURE	Basic Wall	Existing	Existing
2302921	Concept_100mm	Walls	True	1.93786328734	20.6018772844	6.75914609070	10_STRUCTURE	Basic Wall	Existing	Existing
2302929	Concept_290mm	Walls	True	16.1417322835	161.014838696	153.196532880	10_STRUCTURE	Basic Wall	Existing	Existing
2302930	Concept_410mm	Walls	True	7.55693226560	75.3808952110	101.398185815	10_STRUCTURE	Basic Wall	Existing	Existing
2302931	Concept_790mm	Walls	True	4.05356178617	40.4345447988	104.800821493	10_STRUCTURE	Basic Wall	Existing	Existing
2303319	Concept_150mm	Walls	True	27.8349942801	284.985559100	140.248798770	10_STRUCTURE	Basic Wall	Existing	Existing
2303390	Concept_290mm	Walls	True	11.0062878817	111.962424901	106.525929203	10_STRUCTURE	Basic Wall	Existing	Existing
2303391	Concept_225mm	Walls	True	15.9283687745	164.848216026	121.689135846	10_STRUCTURE	Basic Wall	Existing	Existing
2303392	Concept_225mm	Walls	True	5.29173836398	43.7689182186	32.3097329370	10_STRUCTURE	Basic Wall	Existing	Existing
2303393	Concept_275mm	Walls	True	34.2123445070	284.019423015	256.251119846	10_STRUCTURE	Basic Wall	Existing	Existing
2303448	Concept_250	Walls	True	28.1138890532	866.568200966	710.767881370	10_STRUCTURE	Basic Wall	Existing	Existing
2615224	Glazing_Commercial Suite_AC concept	Walls	True	21.2598425197	208.795664814	None	40_FF&E	Curtain Wall	Stage 2/3	None
2615229	Glazing_Commercial Suite_AC concept	Walls	True	21.8798506988	207.909497481	None	40_FF&E	Curtain Wall	Stage 2/3	None
2615230	Glazing_Commercial Suite_AC concept	Walls	True	25.0931869079	250.306185940	None	40_FF&E	Curtain Wall	Stage 2/3	None
2617771	FENCE_AC concept 2	Walls	True	28.8789226842	129.632075418	None	40_FF&E	Curtain Wall	Stage 2/3	None
2619688	Concept_200mm	Walls	True	46.6019293476	621.615134243	407.883946354	30_INTERIOR	Basic Wall	Stage 2/3	None
2636361	Glazing_Commercial Suite_AC concept	Walls	True	23.3014948627	302.183555662	None	40_FF&E	Curtain Wall	Stage 2/3	None
2636394	Glazing_Commercial Suite_AC concept	Walls	True	20.6036745407	266.697447746	None	40_FF&E	Curtain Wall	Stage 2/3	None
2636554	Concept_200mm	Walls	True	5.82349081365	75.8904124127	49.7968585385	40_FF&E	Basic Wall	Stage 2/3	None
3174374	Concept_290mm	Walls	True	2.29658792651	70.7888568555	67.3516026512	30_INTERIOR	Basic Wall	Existing	Existing
3278490	FENCE_AC concept 2	Walls	True	36.6967334128	144.475328397	None	50_SITE	Curtain Wall	Stage 2/3	None
3279298	FENCE_AC concept 2	Walls	True	13.5722625177	62.3397884674	None	50_SITE	Curtain Wall	Stage 2/3	None
3279473	FENCE_AC concept 2	Walls	True	7.32394831183	34.1074072921	None	50_SITE	Curtain Wall	Stage 2/3	None
3279581	FENCE_AC concept 2	Walls	True	8.89864107086	40.8730232913	None	50_SITE	Curtain Wall	Stage 2/3	None
3280762	FENCE_AC concept 2	Walls	True	10.5572711327	41.5640595776	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
3281569	FENCE_AC concept 2	Walls	True	36.9098915508	145.314533665	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
3282047	FENCE_AC concept 2	Walls	True	16.1047837435	63.4046604075	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
3282323	FENCE_AC concept 2	Walls	True	17.3774002641	68.6185776272	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
3282504	FENCE_AC concept 2	Walls	True	16.3561353163	64.3942335288	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
