"";"Type";"token";"cluster"
"1";"Glazing_Residential Facade";"glazing residential facade";1
"2";"Glazing_Residential Facade_East";"glazing residential facade east";1
"3";"Glazing_Residential Facade_Penthouse_350mm";"glazing residential facade penthouse";1
"4";"LV05 Shear Wall Make-up Panel";"lv05 shear  make-up panel";1
"5";"Glazing_Residential Facade_Podium_350mm";"glazing residential facade podium";1
"6";"Curtain Wall 1";"curtain  1";2
"7";"Glazing_Facade_Podium_270mm";"glazing facade podium";1
"8";"Glazing_Plant Louvre";"glazing plant louvre";1
"9";"Glazing_10.0mm Face";"glazing 10. face";1
"10";"Corner Column Cladding";"corner column cladding";1
"11";"Blockwork_Core Filled_190mm";"blockwork core filled";1
"12";"Concrete_Cast Insitu_150mm";"concrete cast insitu";2
"13";"Glazing_Residential Facade_East_300mm";"glazing residential facade east";1
"14";"Glazing_6.0mm Centre";"glazing 6. centre";1
"15";"L8c - STUD LINING IMPACT";"l8c - stud lining impact";3
"16";"PF10c/F120 - FIRE RATED STUD PARTITION";"pf10c/f120 - fire rated stud partition";4
"17";"P10d - STUD PARTITION IMPACT / FC";"p10d - stud partition impact / fc";5
"18";"P8c - STUD PARTITION IMPACT 2 SIDES";"p8c - stud partition impact 2 sides";5
"19";"P18c/A45 - STUD PARTITION ACOUSTIC FC 1 SIDE";"p18c/a45 - stud partition acoustic fc 1 side";5
"20";"IWS-301_RW35_Internal Glazing_Sapphire Maxline 116x45";"iws-301 rw35 internal glazing sapphire maxline 116x45";1
"21";"L8a/T1.0 - STUD LINING";"l8a/t1.0 - stud lining";3
"22";"P5c/A45* - STUD PARTITION FC 2 SIDES";"p5c/a45* - stud partition fc 2 sides";5
"23";"Brick veneer facade";"brick veneer facade";1
"24";"Screen";"screen";2
"25";"P15c/A45 - STUD PARTITION IMPACT 1 SIDE";"p15c/a45 - stud partition impact 1 side";5
"26";"Concrete_200mm";"concrete";2
"27";"P4c - STUD PARTITION FC 1 SIDE";"p4c - stud partition fc 1 side";5
"28";"Glazing_Sapphire Maxline 116x45";"glazing sapphire maxline 116x45";1
"29";"Concrete_250mm";"concrete";2
"30";"Concrete_190mm";"concrete";2
"31";"Concrete_150mm";"concrete";2
"32";"Glazing_Commercial Suite_Roof Pavilion";"glazing commercial suite roof pavilion";1
"33";"L16c/A45* - STUD LINING ACOUSTIC";"l16c/a45* - stud lining acoustic";5
"34";"P10c - STUD PARTITION IMPACT / FC";"p10c - stud partition impact / fc";5
"35";"L10d/A45* - STUD LINING FC";"l10d/a45* - stud lining fc";3
"36";"L7a - BATTEN LINING IMPACT";"l7a - batten lining impact";3
"37";"P55 - STAGGERED STUD PARTITION";"p55 - staggered stud partition";4
"38";"L8d - STUD LINING IMPACT";"l8d - stud lining impact";3
"39";"Concrete_300mm";"concrete";2
"40";"L10d/A35* - STUD LINING FC";"l10d/a35* - stud lining fc";3
"41";"P5d/A40 - STUD PARTITION FC 2 SIDES";"p5d/a40 - stud partition fc 2 sides";5
"42";"IWS-302_RW45_Internal Glazing_Sapphire Maxline 116x45";"iws-302 rw45 internal glazing sapphire maxline 116x45";1
"43";"P1d/A40 - STUD PARTITION";"p1d/a40 - stud partition";4
"44";"L12d/A45* - STUD LINING";"l12d/a45* - stud lining";3
"45";"L10d/A40* - STUD LINING FC";"l10d/a40* - stud lining fc";3
"46";"L10d - STUD LINING FC";"l10d - stud lining fc";3
"47";"P10c/A45* - STUD PARTITION IMPACT / FC";"p10c/a45* - stud partition impact / fc";5
"48";"P74c/A55 - DOUBLE STUD PARTITION  IMPACT 2 SIDES";"p74c/a55 - double stud partition  impact 2 sides";5
"49";"P5c - STUD PARTITION FC 2 SIDES";"p5c - stud partition fc 2 sides";5
"50";"IWS-302_RW40_Internal Glazing_Sapphire Maxline 116x45";"iws-302 rw40 internal glazing sapphire maxline 116x45";1
"51";"ILS-401 - TILE FINISH";"ils-401 - tile finish";1
"52";"L9a - BATTEN LINING FC";"l9a - batten lining fc";6
"53";"L5# - DIRECT FIX FIRE RATED LINING";"l5# - direct fix fire rated lining";6
"54";"P8d/A40 - STUD PARTITION IMPACT 2 SIDES";"p8d/a40 - stud partition impact 2 sides";5
"55";"LF21d/F120 - FIRE RATED STUD LINING";"lf21d/f120 - fire rated stud lining";6
"56";"L8c/A45* - STUD LINING IMPACT";"l8c/a45* - stud lining impact";3
"57";"LF21c/F120 - FIRE RATED STUD LINING";"lf21c/f120 - fire rated stud lining";6
"58";"LB2 - 18mm PLYWOOD STUD LINING";"lb2 -  plywood stud lining";6
"59";"P4e/A40 - STUD PARTITION FC 1 SIDE";"p4e/a40 - stud partition fc 1 side";5
"60";"L1a - BATTEN LINING";"l1a - batten lining";6
"61";"L12c/A40 - STUD LINING";"l12c/a40 - stud lining";3
"62";"18_toilet partition";"18 toilet partition";4
"63";"L12d - STUD LINING";"l12d - stud lining";3
"64";"L8d/A45* - STUD LINING IMPACT";"l8d/a45* - stud lining impact";3
"65";"BAL - 107_WALKWAY";"bal - 107 walkway";1
"66";"CLD-501 - 18mm PLYWOOD BATTEN LINING";"cld-501 -  plywood batten lining";6
"67";"Bulkhead Wall_50mm";"bulkhead ";2
"68";"L2c/A45* - STUD LINING";"l2c/a45* - stud lining";3
"69";"CLD-xxx - Pinboard";"cld-xxx - pinboard";1
"70";"GLASS WALL";"glass ";2
"71";"Concrete_400mm";"concrete";2
"72";"L2d - STUD LINING";"l2d - stud lining";3
"73";"CLD-401 - CERAMIC CLADDING";"cld-401 - ceramic cladding";1
"74";"JOI-xxx_STEM ART SPACE JOINERY 300D";"joi-xxx stem art space joinery 300d";1
"75";"AUDITORIUM BATTENS";"auditorium battens";1
"76";"JOI-xxx_ THEATRE BAND CURVED";"joi-xxx  theatre band curved";1
"77";"CON_Concrete Retaining Wall_350mm";"con concrete retaining ";2
"78";"EXT WALL_FCDT-204  FC FACADE MORTARY BUILDING & L2 PODIUM";"ext  fcdt-204  fc facade mortary building & l2 podium";1
"79";"EXT WALL_FCDT-00XX FC FACADE PODIUM WITH INTEGRATED FINS";"ext  fcdt-00xx fc facade podium with integrated fins";1
"80";"CON_Concrete Wall_350mm_F120";"con concrete   f120";2
"81";"EXT WALL_FCDT-501_METAL CLADDING (25MM/70MMCAVITY/6MM T.B/6MM RAB";"ext  fcdt-501 metal cladding (/cavity/ t.b/ rab";1
"82";"BLBL-101 - BLOCK WALL_Core Filled_FRL";"blbl-101 - block  core filled frl";1
"83";"EXTERNAL WALL_FRAME_150MM STUD/10MM TOLERANCE";"external  frame  stud/ tolerance";1
"84";"EXT WALL_FCDT-104 BRICK";"ext  fcdt-104 brick";1
"85";"EXT WALL_FCDT-105 BRICK LARGER CAVITY";"ext  fcdt-105 brick larger cavity";1
"86";"EXT WALL_FCDT-101 BRICK FEATURE PATTERN";"ext  fcdt-101 brick feature pattern";1
"87";"CON_Concrete Wall_250mm_F120";"con concrete   f120";2
"88";"CON_Concrete Wall_300mm_FRL 120";"con concrete   frl 120";2
"89";"P7d/A35 - STUD PARTITION IMPACT 1 SIDE";"p7d/a35 - stud partition impact 1 side";5
"90";"PF10d/F120/A50 - FIRE RATED STUD PARTITION";"pf10d/f120/a50 - fire rated stud partition";4
"91";"PF10d/F120 - FIRE RATED STUD PARTITION";"pf10d/f120 - fire rated stud partition";4
"92";"P16d/A50 - STUD PARTITION ACOUSTIC";"p16d/a50 - stud partition acoustic";5
"93";"P11d/A45 - STUD PARTITION";"p11d/a45 - stud partition";4
"94";"P7d - STUD PARTITION IMPACT 1 SIDE";"p7d - stud partition impact 1 side";5
"95";"P2d/A40 - STUD PARTITION WET 1 SIDE";"p2d/a40 - stud partition wet 1 side";5
"96";"BLBL-101 - BLOCK WALL_Core Filled";"blbl-101 - block  core filled";1
"97";"P15d/A45 - STUD PARTITION IMPACT 1 SIDE";"p15d/a45 - stud partition impact 1 side";5
"98";"P1d/A35 - STUD PARTITION";"p1d/a35 - stud partition";4
"99";"P8d - STUD PARTITION IMPACT 2 SIDES";"p8d - stud partition impact 2 sides";5
"100";"CON_Concrete Wall_200mm_F120";"con concrete   f120";2
"101";"EXTERNAL WALL_FRAME FIRE RATED 150MM STUD";"external  frame fire rated  stud";1
"102";"L1c - BATTEN LINING";"l1c - batten lining";6
"103";"LF35/F120 - FIRE RATED SHAFT WALL";"lf35/f120 - fire rated shaft ";6
"104";"P12d/A45 - STUD PARTITION WET 1 SIDE";"p12d/a45 - stud partition wet 1 side";5
"105";"P12d/A40 - STUD PARTITION WET 1 SIDE";"p12d/a40 - stud partition wet 1 side";5
"106";"L2b - STUD LINING";"l2b - stud lining";3
"107";"STRUCTURE_1200 Wide Concrete";"structure 1200 wide concrete";1
"108";"P61d - DOUBLE STUD PARTITION";"p61d - double stud partition";4
"109";"EXT WALL_FCDT-201 FC FACADE L3-L7";"ext  fcdt-201 fc facade l3-l7";1
"110";"LXX - STUD LINING - EXTERNAL WALL";"lxx - stud lining - external ";3
"111";"L8d/A35* - STUD LINING IMPACT";"l8d/a35* - stud lining impact";3
"112";"P7d/A40 - STUD PARTITION IMPACT 1 SIDE";"p7d/a40 - stud partition impact 1 side";5
"113";"EXTERNAL WINDOW WALL_FCDT-300 SYSTEM - SPINE";"external window  fcdt-300 system - spine";1
"114";"L2d/A40* - STUD LINING";"l2d/a40* - stud lining";3
"115";"L2d/A35* - STUD LINING";"l2d/a35* - stud lining";3
"116";"P1d - STUD PARTITION";"p1d - stud partition";4
"117";"P9d - STUD PARTITION IMPACT / WET";"p9d - stud partition impact / wet";5
"118";"BLBL-102 - BLOCK WALL_Core Filled";"blbl-102 - block  core filled";1
"119";"CON_Concrete Wall_300mm";"con concrete ";2
"120";"EXT WALL_FCDT-102 BRICK VERTICAL COURSING TOP BAND";"ext  fcdt-102 brick vertical coursing top band";1
"121";"EXT WALL_FCDT-106 BRICK VERTICAL COURSING TOP BAND top cavity";"ext  fcdt-106 brick vertical coursing top band top cavity";1
"122";"CON_Concrete Shear Wall_200mm";"con concrete shear ";2
"123";"P9d/A40 - STUD PARTITION IMPACT / WET";"p9d/a40 - stud partition impact / wet";5
"124";"P2d/A35 - STUD PARTITION WET 1 SIDE";"p2d/a35 - stud partition wet 1 side";5
"125";"L4d - STUD LINING WET";"l4d - stud lining wet";3
"126";"L7c - BATTEN LINING IMPACT";"l7c - batten lining impact";3
"127";"L8b - STUD LINING IMPACT";"l8b - stud lining impact";3
"128";"L4d/A40* - STUD LINING WET";"l4d/a40* - stud lining wet";3
"129";"P2d - STUD PARTITION WET 1 SIDE";"p2d - stud partition wet 1 side";5
"130";"P3d/A40 - STUD PARTITION WET 2 SIDES";"p3d/a40 - stud partition wet 2 sides";5
"131";"L4b - STUD LINING WET";"l4b - stud lining wet";3
"132";"P9d/A35 - STUD PARTITION IMPACT / WET";"p9d/a35 - stud partition impact / wet";5
"133";"L4d/A35* - STUD LINING WET";"l4d/a35* - stud lining wet";3
"134";"P13d/A45 - STUD PARTITION WET 2 SIDES";"p13d/a45 - stud partition wet 2 sides";5
"135";"PF27a/F120/A55 - FIRE RATED STAGGERED STUD PARTITION";"pf27a/f120/a55 - fire rated staggered stud partition";4
"136";"L3c - BATTEN LINING WET";"l3c - batten lining wet";6
"137";"P16d/A55 - STUD PARTITION ACOUSTIC";"p16d/a55 - stud partition acoustic";5
"138";"Existing_120mm";"existing";2
"139";"EXT_GLAZING_FCDT-400_6.0mm Centre";"ext glazing fcdt-400 6. centre";1
"140";"L2d/A45* - STUD LINING";"l2d/a45* - stud lining";3
"141";"L8d/A40* - STUD LINING IMPACT";"l8d/a40* - stud lining impact";3
"142";"P8d/A35 - STUD PARTITION IMPACT 2 SIDES";"p8d/a35 - stud partition impact 2 sides";5
"143";"PF10d/F120/A45 - FIRE RATED STUD PARTITION";"pf10d/f120/a45 - fire rated stud partition";4
"144";"LF9# - DIRECT FIX FIRE RATED LINING";"lf9# - direct fix fire rated lining";6
"145";"CON_Concrete Wall_225mm";"con concrete ";2
"146";"Concrete_Cast Insitu_Structural Upstand";"concrete cast insitu structural upstand";2
"147";"Feature Wall Colour";"feature  colour";1
"148";"L2 Lift Core Feature Wall 4";"l2 lift core feature  4";1
"149";"L2 Lift Core Feature Wall 1";"l2 lift core feature  1";1
"150";"L2 Lift Core Feature Wall Skirt";"l2 lift core feature  skirt";1
